YYYY,MM,DD,hh,mm,ss,msec,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,06,38,48,634,tr,0.000,0.000000,0.109651,-10.506488,-0.00649,-0.01106,-0.68580,-0.00656,-0.01607,-1.19277,-0.00662,-0.01865,-1.44793,-0.00646,-0.01829,-1.41878,-0.00638,-0.01505,-1.10255,-1.67300,-0.00593,0.12900,10.12169,5.67825,0.16867,10.12169,10.12169,0.08465,8.80498,10.12169,9.00518,10.12169,10.00871,0.57410,3.96936,-4.00288
2022,05,08,06,38,48,884,tr,0.000,0.000000,0.029758,-16.192191,-0.00597,-0.01075,-0.69080,-0.00571,-0.01522,-1.16702,-0.00578,-0.01772,-1.41607,-0.00564,-0.01749,-1.40105,-0.00560,-0.01427,-1.08042,-1.67250,-0.00543,0.12931,10.12169,5.67826,0.16908,10.12169,10.12169,0.08509,8.81251,10.12169,9.00664,10.12169,10.01169,0.57410,3.96946,-4.00253
2022,05,08,06,38,49,133,tr,0.000,0.000000,-0.265919,-9.599189,-0.00465,-0.00906,-0.64774,-0.00453,-0.01387,-1.12598,-0.00453,-0.01640,-1.36037,-0.00451,-0.01640,-1.36578,-0.00456,-0.01327,-1.05823,-1.67175,-0.00434,0.13036,10.12169,5.67794,0.17016,10.12169,10.12169,0.08602,8.82659,10.12169,9.00449,10.12169,10.01256,0.57461,3.96998,-4.00233
2022,05,08,06,38,49,383,tr,0.000,0.000000,0.420076,-8.428593,-0.00482,-0.00949,-0.66164,-0.00471,-0.01418,-1.13819,-0.00470,-0.01645,-1.36270,-0.00463,-0.01646,-1.37056,-0.00464,-0.01345,-1.06102,-1.67181,-0.00450,0.13015,10.12169,5.68079,0.16980,10.12169,10.12169,0.08558,8.82168,10.12169,9.00498,10.12169,10.01153,0.57442,3.96976,-4.00225
2022,05,08,06,38,49,633,tr,0.000,0.000000,-0.343732,-6.863296,-0.00421,-0.00879,-0.63921,-0.00430,-0.01375,-1.11885,-0.00431,-0.01602,-1.34908,-0.00430,-0.01616,-1.36670,-0.00427,-0.01314,-1.05615,-1.67167,-0.00419,0.13056,10.12169,5.67720,0.17027,10.12169,10.12169,0.08613,8.82996,10.12169,9.00680,10.12169,10.01737,0.57473,3.97020,-4.00206
2022,05,08,06,38,49,884,tr,0.000,0.000000,0.057189,-8.754097,-0.00444,-0.00905,-0.64496,-0.00430,-0.01376,-1.12195,-0.00429,-0.01600,-1.34404,-0.00431,-0.01614,-1.36423,-0.00422,-0.01298,-1.05307,-1.67156,-0.00422,0.13047,10.12169,5.67589,0.17033,10.12169,10.12169,0.08623,8.83101,10.12169,9.00749,10.12169,10.01963,0.57486,3.97035,-4.00167
2022,05,08,06,38,50,134,tr,0.000,0.000000,0.071661,14.285284,-0.00421,-0.00871,-0.62869,-0.00424,-0.01375,-1.11571,-0.00434,-0.01600,-1.34828,-0.00434,-0.01610,-1.36119,-0.00426,-0.01311,-1.05756,-1.67157,-0.00408,0.13064,10.12169,5.67861,0.17038,10.12169,10.12169,0.08624,8.83068,10.12169,9.00638,10.12169,10.01899,0.57492,3.97028,-4.00190
2022,05,08,06,38,50,384,tr,0.000,0.000000,-0.291064,0.541978,-0.00402,-0.00843,-0.61826,-0.00386,-0.01322,-1.10381,-0.00384,-0.01541,-1.32575,-0.00381,-0.01573,-1.35087,-0.00380,-0.01253,-1.04088,-1.67125,-0.00380,0.13089,10.12169,5.68197,0.17048,10.12169,10.12169,0.08642,8.83615,10.12169,9.00824,10.12169,10.02034,0.57509,3.97047,-4.00157
2022,05,08,06,38,50,633,tr,0.000,0.000000,0.236418,13.102505,-0.00387,-0.00822,-0.60883,-0.00387,-0.01322,-1.10234,-0.00389,-0.01532,-1.31602,-0.00391,-0.01575,-1.35202,-0.00389,-0.01273,-1.04642,-1.67128,-0.00383,0.13099,10.12169,5.68003,0.17073,10.12169,10.12169,0.08663,8.83799,10.12169,9.00815,10.12169,10.01919,0.57535,3.97069,-4.00156
2022,05,08,06,38,50,883,tr,0.000,0.000000,-0.085953,0.805094,-0.00367,-0.00823,-0.61402,-0.00359,-0.01301,-1.10251,-0.00365,-0.01520,-1.31642,-0.00360,-0.01547,-1.34685,-0.00355,-0.01239,-1.03748,-1.67104,-0.00369,0.13103,10.12169,5.65926,0.17074,10.12169,10.12169,0.08661,8.83834,10.12169,9.00768,10.12169,10.02183,0.57524,3.97075,-4.00144
2022,05,08,06,38,51,133,tr,0.000,0.000000,0.052860,2.912171,-0.00366,-0.00827,-0.62218,-0.00371,-0.01318,-1.10272,-0.00376,-0.01536,-1.32144,-0.00375,-0.01560,-1.34346,-0.00377,-0.01250,-1.04121,-1.67115,-0.00365,0.13104,10.12169,5.65952,0.17088,10.12169,10.12169,0.08675,8.83944,10.12169,9.00731,10.12169,10.02304,0.57535,3.97080,-4.00139
