YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33
2022,05,08,16,34,33,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00180,-0.02524,-2.37393,-0.00179,-0.03554,-3.40727,-0.00201,-0.05496,-5.35018,-0.00898,-0.75003,-10.32804,-0.00609,-0.43811,-10.32794,-1.66878,-0.00093,-0.00041,0.10741,-0.18932,0.00188,0.33674,0.04451,-0.00093,0.05278,0.27119,-0.01105,-0.94703,-1.75627,0.62185,3.98260,-3.98123
2022,05,08,16,34,33,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00168,-0.02522,-2.37404,-0.00174,-0.03553,-3.40933,-0.00197,-0.05521,-5.37680,-0.00903,-0.75776,-10.32087,-0.00610,-0.44439,-10.30979,-1.66882,-0.00105,-0.00051,0.10661,-0.18950,0.00180,0.33631,0.04396,-0.00102,0.05173,0.27112,-0.01169,-1.01024,-1.79598,0.62191,3.98264,-3.98118
2022,05,08,16,34,33,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00176,-0.02539,-2.38692,-0.00177,-0.03558,-3.41497,-0.00204,-0.05560,-5.41706,-0.00917,-0.76924,-10.33190,-0.00621,-0.45316,-10.32762,-1.66879,-0.00096,-0.00041,0.10649,-0.18985,0.00185,0.33706,0.04338,-0.00099,0.05194,0.27112,-0.01191,-1.03496,-1.80761,0.62188,3.98264,-3.98120
2022,05,08,16,34,34,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00170,-0.02527,-2.38311,-0.00172,-0.03560,-3.41884,-0.00192,-0.05606,-5.45514,-0.00924,-0.77940,-10.32846,-0.00629,-0.45774,-10.30757,-1.66879,-0.00097,-0.00049,0.10553,-0.18966,0.00182,0.33653,0.04273,-0.00106,0.05122,0.27121,-0.01210,-1.06010,-1.82126,0.62193,3.98264,-3.98119
2022,05,08,16,34,34,391,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00172,-0.02545,-2.39133,-0.00179,-0.03569,-3.41941,-0.00202,-0.05612,-5.46402,-0.00932,-0.78338,-10.33598,-0.00623,-0.45915,-10.32082,-1.66875,-0.00088,-0.00044,0.10539,-0.18969,0.00191,0.33716,0.04225,-0.00097,0.05160,0.27114,-0.01242,-1.08394,-1.83295,0.62188,3.98260,-3.98116
2022,05,08,16,34,34,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00165,-0.02533,-2.39155,-0.00177,-0.03558,-3.41486,-0.00194,-0.05609,-5.46813,-0.00930,-0.78714,-10.32164,-0.00632,-0.46176,-10.29636,-1.66881,-0.00095,-0.00047,0.10453,-0.18969,0.00180,0.33677,0.04168,-0.00104,0.05067,0.27121,-0.01295,-1.14529,-1.87275,0.62186,3.98267,-3.98115
2022,05,08,16,34,34,891,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00175,-0.02543,-2.39445,-0.00178,-0.03572,-3.42055,-0.00203,-0.05655,-5.50928,-0.00943,-0.79782,-10.33288,-0.00633,-0.46994,-10.31093,-1.66875,-0.00091,-0.00039,0.10428,-0.18988,0.00191,0.33744,0.04109,-0.00095,0.05095,0.27135,-0.01315,-1.16166,-1.87988,0.62188,3.98265,-3.98123
2022,05,08,16,34,35,141,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00167,-0.02535,-2.39562,-0.00177,-0.03576,-3.43011,-0.00194,-0.05690,-5.55036,-0.00955,-0.81058,-10.32303,-0.00648,-0.47703,-10.30240,-1.66882,-0.00102,-0.00049,0.10348,-0.19012,0.00181,0.33657,0.04058,-0.00108,0.05004,0.27127,-0.01339,-1.18497,-1.88548,0.62188,3.98264,-3.98119
2022,05,08,16,34,35,392,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00174,-0.02556,-2.40489,-0.00177,-0.03578,-3.43163,-0.00205,-0.05718,-5.57031,-0.00961,-0.81205,-10.33824,-0.00642,-0.47728,-10.32428,-1.66881,-0.00094,-0.00048,0.10348,-0.19029,0.00181,0.33714,0.04021,-0.00098,0.05045,0.27118,-0.01374,-1.21447,-1.91082,0.62182,3.98263,-3.98117
2022,05,08,16,34,35,641,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.00168,-0.02552,-2.40520,-0.00175,-0.03576,-3.43470,-0.00199,-0.05721,-5.57842,-0.00961,-0.81603,-10.31772,-0.00648,-0.47866,-10.30979,-1.66882,-0.00103,-0.00050,0.10255,-0.19009,0.00179,0.33667,0.03979,-0.00105,0.04975,0.27136,-0.01367,-1.22002,-1.89808,0.62185,3.98264,-3.98115
