Instrument: 905
Site: NASA_Ames
2025/JUL/10 -> 2025/JUL/18
Date	Time	JDay	Type	V1_1020	V1_1640	V1_870	V1_675	V1_440	V1_500	V1_1020(InGaAs)	V1_935	V1_380	V1_340	V2_1020	V2_1640	V2_870	V2_675	V2_440	V2_500	V2_1020(InGaAs)	V2_935	V2_380	V2_340	V3_1020	V3_1640	V3_870	V3_675	V3_440	V3_500	V3_1020(InGaAs)	V3_935	V3_380	V3_340	Temperature	offset(sec)	Level	Zenith	AirMass	AOD_1020	AOD_1640	AOD_870	AOD_675	AOD_440	AOD_500	AOD_1020(InGaAs)	Water_Vapor	AOD_380	AOD_340	Alpha
JUL/17/2025	22:04:14	198.919606	sun	455095.660051	886281.677370	747194.727235	886502.621993	530317.845029	707979.704783	560999.817895	228381.666154	76868.000000	9519.000000	455111.678976	885474.643972	747041.731795	885817.658600	530759.811563	708196.688449	560759.824390	227787.635809	76801.000000	9506.000000	455427.051564	886111.670335	748282.694804	886486.622848	529748.888109	707576.735118	561019.817354	227436.617879	76778.000000	9482.000000	24.6	30	L1.5V	28.924032	1.141840	0.027172	0.020704	0.037952	0.048936	0.101828	0.079403	0.028698	2.029913	0.122260		1.456379
JUL/17/2025	22:09:14	198.923079	sun	454818.332410	885707.653615	746579.745567	885124.695634	527741.040141	705416.897706	560622.828098	224938.490270	76468.000000	9426.000000	454435.880573	885279.635902	746488.748279	883841.764199	528308.997136	705873.863306	560582.829180	225213.504318	76297.000000	9410.000000	454993.539404	885512.645545	746595.745090	884526.727592	527427.063915	704500.966655	560676.826636	224508.468304	76125.000000	9396.000000	24.6	30	L1.5V	29.816332	1.151870	0.027666	0.020777	0.038596	0.049773	0.102828	0.080633	0.028760	2.047140	0.123158		1.447620
JUL/17/2025	22:14:14	198.926551	sun	455074.245672	885642.532299	746413.139529	884775.825459	528504.024422	706635.490266	560659.707538	226444.507249	76436.000000	9420.000000	454872.948311	884876.492916	746409.139678	885829.754972	528255.047965	706030.547205	561048.694153	224690.394871	76163.000000	9374.000000	454685.671662	884815.489779	745842.160841	884015.876285	525638.295406	703359.798580	559949.731969	223462.316194	75928.000000	9331.000000	24.5	30	L1.5V	30.719681	1.162495	0.027095	0.020833	0.038489	0.048455	0.100236	0.078395	0.028536	2.028099	0.119280		1.416309
JUL/17/2025	22:29:14	198.936968	sun	453703.874405	883107.777248	744151.977729	880098.405911	518873.436852	697071.099170	558293.194674	216655.561421	74339.000000	9064.000000	453224.883202	883464.802628	743861.992936	879719.441476	519344.374623	696653.154271	557758.221318	217483.636186	74302.000000	9042.000000	453382.208764	882932.764807	743548.009401	880188.397466	518637.468032	697268.073201	559081.155431	217717.657315	74325.000000	9049.000000	24.3	30	L1.5V	33.485953	1.198175	0.028486	0.021443	0.039546	0.049998	0.103532	0.081411	0.030482	2.056950	0.122866		1.427186
JUL/17/2025	22:34:14	198.940440	sun	453516.486633	882775.753646	745670.898079	878890.519267	518547.479923	696757.140561	558152.201696	215774.481870	74014.000000	8993.000000	453703.874405	882863.759902	743384.018000	879148.495057	517212.656305	695574.296506	558451.186806	214576.373695	73826.000000	8960.000000	453588.635935	882829.757485	743981.986643	878954.513261	517067.675462	695364.324188	558743.172264	213504.276897	73739.000000	8955.000000	24.3	30	L1.5V	34.423898	1.211426	0.027700	0.021304	0.038404	0.049798	0.101857	0.080140	0.029871	2.070171	0.121742		1.439623
JUL/17/2025	22:39:14	198.943912	sun	453128.684132	881909.692080	744002.985542	879256.484922	516110.801902	695236.341061	558545.182124	213685.293241	73625.000000	8912.000000	452680.757212	881868.689165	743104.032682	878199.584109	516147.797014	694356.457064	557570.230681	213759.299923	73448.000000	8885.000000	452377.128897	881632.672388	743288.023034	877259.672316	515189.923586	693344.590467	557414.238450	212073.147683	73287.000000	8855.000000	24.3	30	L1.5V	35.368527	1.225405	0.028825	0.021807	0.038759	0.049314	0.100730	0.079332	0.030283	2.063016	0.119713		1.412725
JUL/17/2025	22:44:14	198.947384	sun	453423.293784	882421.728479	744366.966456	879206.489614	515791.844049	694903.384958	558212.198708	214277.346696	73287.000000	8841.000000	453128.684132	882561.738432	743982.986591	878103.593117	515684.858186	694774.401963	558760.171417	214156.335770	73317.000000	8829.000000	452578.545700	881702.677364	743263.024345	877887.613386	515065.939969	693936.512429	557585.229934	214277.346696	73198.000000	8799.000000	24.3	30	L1.5V	36.319195	1.240145	0.027852	0.021011	0.037679	0.047933	0.097090	0.076298	0.029358	2.025712	0.114975		1.396473
JUL/17/2025	22:49:14	198.950856	sun	453049.520314	881378.654330	744193.975527	879453.466436	515395.896369	694749.405258	558529.182921	214029.324303	73150.000000	8782.000000	452806.016418	882890.761821	744631.952560	878775.530058	515932.825420	694965.376785	558190.199804	214216.341188	73104.000000	8770.000000	453848.173010	882342.722863	744735.947107	878776.529964	515885.831629	694857.391022	558561.181328	214387.356629	73048.000000	8765.000000	24.3	30	L1.5V	37.275316	1.255684	0.027065	0.020590	0.036331	0.046120	0.092509	0.073083	0.028543	2.002828	0.109786		1.379976
JUL/17/2025	22:54:14	198.954329	sun	453595.064506	881491.166038	745133.266625	879366.578082	515240.263253	694368.350668	558810.672615	213356.088185	72880.000000	8722.000000	452877.366657	881481.165231	743935.338542	878573.663221	514890.316051	694077.394519	557731.735032	213565.109824	72768.000000	8716.000000	453039.750807	881472.164504	743808.346165	878425.679111	514544.368246	694187.377943	558381.697431	213310.083422	72705.000000	8694.000000	24.2	30	L1.5V	38.236352	1.272061	0.026697	0.020764	0.035909	0.045016	0.089451	0.070892	0.028214	1.986443	0.105977		1.348996
JUL/17/2025	22:59:14	198.957801	sun	453591.642156	881940.694284	744231.973534	879022.506880	513934.089530	694318.462073	558628.177991	212705.204750	72491.000000	8643.000000	453686.839153	882540.736939	745049.930642	878981.510728	514078.070504	694436.446518	558916.163648	214317.350308	72497.000000	8651.000000	454013.515161	881702.677364	744869.940080	879383.473005	513689.121899	694218.475255	559290.145022	214528.369360	72442.000000	8627.000000	24.3	30	L1.5V	39.201812	1.289317	0.025223	0.019790	0.034785	0.043384	0.086467	0.067757	0.026850	1.955855	0.101810		1.340171
