#1    2          3          4          5         6         7         8        9         10      11      12     13     14     15     16     17          18          19          20           21           22           23           24           25             26           27           28                    29              30
#time angular_vx angular_vy angular_vz linear_ax linear_ay linear_az imu_temp imu_press imu_lat imu_lon ch1_1x ch2_1x ch3_1x ch4_1x ch5_1x motor_0_enc motor_1_enc motor_2_enc quaternion_w quaternion_x quaternion_y quaternion_z sun_ephem_az sun_ephem_elev camera_sun_x camera_sun_y camera_sun_brightness camera_target_x camera_target_y hot_block1_temp
2025-07-11T13:22:24.538267563-07:00 -0.00185594 -0.0156254 0.00108201 -0.00212301 0.00761189 -0.0110035 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.166 92.744 0 0.206164 -0.01538 -0.0332167 -0.977833 187.423 74.4499 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.558114278-07:00 -0.00185594 -0.0156254 0.00108201 -0.00212301 0.00761189 -0.0110035 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.168 92.744 0 0.206164 -0.01538 -0.0332167 -0.977833 187.423 74.4499 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.578144934-07:00 -0.00185594 -0.0156254 0.00108201 -0.00212301 0.00761189 -0.0110035 54.2539 101081 37.4198 -122.057 -0.766059 -1.28259 -1.3243 -1.31895 -1.39316 104.168 92.744 0 0.206164 -0.01538 -0.0332167 -0.977833 187.423 74.4499 0.5075 0.525 183 0.5043 0.5251 40.125
2025-07-11T13:22:24.598135794-07:00 -0.00189394 -0.015856 0.00087861 0.00940845 -0.0170335 0.0127068 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.165 92.744 0 0.20618 -0.0153957 -0.0332176 -0.977829 187.423 74.4499 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.618208850-07:00 -0.00189394 -0.015856 0.00087861 0.00940845 -0.0170335 0.0127068 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.165 92.744 0 0.20618 -0.0153957 -0.0332176 -0.977829 187.423 74.4499 0.5075 0.521667 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.638114899-07:00 -0.00201277 -0.0155058 0.00103619 0.012971 -0.00428313 0.0146761 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.161 92.744 0 0.206168 -0.0153612 -0.0332092 -0.977832 187.423 74.4499 0.5075 0.525 183 0.5043 0.5251 40.125
2025-07-11T13:22:24.658193725-07:00 -0.00201277 -0.0155058 0.00103619 0.012971 -0.00428313 0.0146761 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.161 92.744 0 0.206168 -0.0153612 -0.0332092 -0.977832 187.426 74.4498 0.5075 0.525 183 0.5043 0.5251 40.125
2025-07-11T13:22:24.678124366-07:00 -0.00201277 -0.0155058 0.00103619 0.012971 -0.00428313 0.0146761 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.152 92.744 0 0.206168 -0.0153612 -0.0332092 -0.977832 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.698115884-07:00 -0.00201277 -0.0155058 0.00103619 0.012971 -0.00428313 0.0146761 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.152 92.744 0 0.206168 -0.0153612 -0.0332092 -0.977832 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.718091384-07:00 -0.00169352 -0.0161778 0.00129063 0.0116121 -0.0109451 0.0358591 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.148 92.744 0 0.206194 -0.0153828 -0.0332159 -0.977826 187.426 74.4498 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.738502126-07:00 -0.00169352 -0.0161778 0.00129063 0.0116121 -0.0109451 0.0358591 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.148 92.744 0 0.206194 -0.0153828 -0.0332159 -0.977826 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.758113129-07:00 -0.00169352 -0.0161778 0.00129063 0.0116121 -0.0109451 0.0358591 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.15 92.744 0 0.206194 -0.0153828 -0.0332159 -0.977826 187.426 74.4498 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.778229298-07:00 -0.00166057 -0.0148889 0.000578294 0.0264942 -0.0163672 -0.0156736 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.15 92.744 0 0.206207 -0.0153888 -0.0332144 -0.977823 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.798251152-07:00 -0.00166057 -0.0148889 0.000578294 0.0264942 -0.0163672 -0.0156736 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.15 92.744 0 0.206207 -0.0153888 -0.0332144 -0.977823 187.426 74.4498 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.818102897-07:00 -0.00166057 -0.0148889 0.000578294 0.0264942 -0.0163672 -0.0156736 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.15 92.744 0 0.206207 -0.0153888 -0.0332144 -0.977823 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.838551810-07:00 -0.00166057 -0.0148889 0.000578294 0.0264942 -0.0163672 -0.0156736 54.2539 101081 37.4198 -122.057 -0.765474 -1.28208 -1.32425 -1.31887 -1.39243 104.15 92.744 0 0.206207 -0.0153888 -0.0332144 -0.977823 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.858431219-07:00 -0.00139102 -0.0160769 0.00121947 0.00911388 -0.00657219 0.0366764 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206202 -0.0153634 -0.033203 -0.977825 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.878293578-07:00 -0.00139102 -0.0160769 0.00121947 0.00911388 -0.00657219 0.0366764 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206202 -0.0153634 -0.033203 -0.977825 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.898151485-07:00 -0.00065484 -0.0162093 0.000994739 0.00642741 -0.00849502 -0.00583935 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206209 -0.0153847 -0.0331994 -0.977824 187.426 74.4498 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.918185452-07:00 -0.000389665 -0.0163499 0.00145715 6.96746e-05 0.00264287 0.0139227 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206223 -0.0153661 -0.0331941 -0.977821 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.938175730-07:00 -0.000389665 -0.0163499 0.00145715 6.96746e-05 0.00264287 0.0139227 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206223 -0.0153661 -0.0331941 -0.977821 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.958138723-07:00 -0.000389665 -0.0163499 0.00145715 6.96746e-05 0.00264287 0.0139227 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206223 -0.0153661 -0.0331941 -0.977821 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.978125666-07:00 -0.000816584 -0.0156589 0.00146013 0.0143499 -0.011513 0.00127125 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206226 -0.0153645 -0.0332048 -0.97782 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:24.999812579-07:00 -0.000816584 -0.0156589 0.00146013 0.0143499 -0.011513 0.00127125 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206226 -0.0153645 -0.0332048 -0.97782 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.018115943-07:00 -0.000816584 -0.0156589 0.00146013 0.0143499 -0.011513 0.00127125 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206226 -0.0153645 -0.0332048 -0.97782 187.429 74.4497 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.038258009-07:00 0.00036303 -0.015815 0.000750087 0.00678334 0.00259925 0.0193901 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206221 -0.0153542 -0.0332083 -0.977821 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.058116832-07:00 -0.00143745 -0.0158007 0.000638637 0.00719876 -0.00906906 0.0036478 54.2383 101086 37.4198 -122.057 -0.767081 -1.28215 -1.32411 -1.31883 -1.39212 104.15 92.744 0 0.206212 -0.0153665 -0.0332106 -0.977823 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.078167198-07:00 -0.00143745 -0.0158007 0.000638637 0.00719876 -0.00906906 0.0036478 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.744 0 0.206212 -0.0153665 -0.0332106 -0.977823 187.429 74.4497 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.098116029-07:00 -0.00143745 -0.0158007 0.000638637 0.00719876 -0.00906906 0.0036478 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.744 0 0.206212 -0.0153665 -0.0332106 -0.977823 187.429 74.4497 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.118099156-07:00 -0.00200123 -0.0163198 0.00102203 0.00992251 0.00274697 0.0156755 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.744 0 0.206218 -0.0153709 -0.0332035 -0.977822 187.429 74.4497 0.5075 0.525 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.138123768-07:00 -0.00103675 -0.0154045 0.00142511 0.00656963 0.00459658 0.0457048 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.744 0 0.206236 -0.0153563 -0.0332008 -0.977818 187.429 74.4497 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.158114887-07:00 -0.00103675 -0.0154045 0.00142511 0.00656963 0.00459658 0.0457048 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.744 0 0.206236 -0.0153563 -0.0332008 -0.977818 187.429 74.4497 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.178122213-07:00 -0.00186898 -0.0157442 0.000815652 -0.00121306 -0.000512571 -0.00528336 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.15 92.7404 0 0.206236 -0.0153509 -0.0332232 -0.977818 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.198127648-07:00 -0.00186898 -0.0157442 0.000815652 -0.00121306 -0.000512571 -0.00528336 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.154 92.735 0 0.206236 -0.0153509 -0.0332232 -0.977818 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.218162895-07:00 -0.00186898 -0.0157442 0.000815652 -0.00121306 -0.000512571 -0.00528336 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.154 92.735 0 0.206236 -0.0153509 -0.0332232 -0.977818 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.238105928-07:00 -0.00127876 -0.0166765 0.00133669 0.0166389 -0.00168764 -0.00969124 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.157 92.735 0 0.206229 -0.0153342 -0.0332235 -0.977819 187.433 74.4496 0.50875 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.258170880-07:00 -0.00127876 -0.0166765 0.00133669 0.0166389 -0.00168764 -0.00969124 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.157 92.7296 0 0.206229 -0.0153342 -0.0332235 -0.977819 187.433 74.4496 0.5075 0.525 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.278336323-07:00 -0.00127876 -0.0166765 0.00133669 0.0166389 -0.00168764 -0.00969124 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.157 92.7224 0 0.206229 -0.0153342 -0.0332235 -0.977819 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.298130311-07:00 -0.00127876 -0.0166765 0.00133669 0.0166389 -0.00168764 -0.00969124 54.2383 101086 37.4198 -122.057 -0.764514 -1.28203 -1.32391 -1.31885 -1.39228 104.157 92.7224 0 0.206229 -0.0153342 -0.0332235 -0.977819 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.318115585-07:00 0.000610761 -0.0156682 0.00117552 0.000220101 -0.00891337 0.0272455 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.157 92.7224 0 0.206241 -0.0153265 -0.0332223 -0.977817 187.433 74.4496 0.5075 0.525 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.338170716-07:00 -0.00231974 -0.0162147 0.000519864 0.0117152 -0.00402001 0.0186758 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.157 92.717 0 0.206218 -0.015331 -0.0332123 -0.977822 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.358721729-07:00 -0.00231974 -0.0162147 0.000519864 0.0117152 -0.00402001 0.0186758 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.157 92.717 0 0.206218 -0.015331 -0.0332123 -0.977822 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.378174819-07:00 -0.000697374 -0.0165094 0.000952743 0.00865875 0.00642288 0.0141478 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.157 92.717 0 0.206215 -0.0153211 -0.0332161 -0.977823 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.398145089-07:00 -0.000697374 -0.0165094 0.000952743 0.00865875 0.00642288 0.0141478 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.159 92.717 0 0.206215 -0.0153211 -0.0332161 -0.977823 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.418126008-07:00 -0.000697374 -0.0165094 0.000952743 0.00865875 0.00642288 0.0141478 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.159 92.717 0 0.206215 -0.0153211 -0.0332161 -0.977823 187.433 74.4496 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.438776183-07:00 -0.00166819 -0.0155132 0.00109766 0.00840605 -0.00420078 0.00893497 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.161 92.7152 0 0.206208 -0.0153297 -0.0332256 -0.977824 187.433 74.4496 0.5075 0.525 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.458128530-07:00 -0.00166819 -0.0155132 0.00109766 0.00840605 -0.00420078 0.00893497 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.161 92.7152 0 0.206208 -0.0153297 -0.0332256 -0.977824 187.437 74.4495 0.5075 0.525 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.478107483-07:00 -0.00166819 -0.0155132 0.00109766 0.00840605 -0.00420078 0.00893497 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.161 92.7152 0 0.206208 -0.0153297 -0.0332256 -0.977824 187.437 74.4495 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.498237218-07:00 -0.00166819 -0.0155132 0.00109766 0.00840605 -0.00420078 0.00893497 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.161 92.7152 0 0.206208 -0.0153297 -0.0332256 -0.977824 187.437 74.4495 0.5075 0.523333 184 0.5043 0.5251 40.125
2025-07-11T13:22:25.518136035-07:00 -0.00251606 -0.0155102 0.00109021 0.00597436 0.0012069 0.00762367 54.2383 101086 37.4198 -122.057 -0.766506 -1.28273 -1.32435 -1.31895 -1.39237 104.166 92.7152 0 0.20622 -0.0153216 -0.0332266 -0.977821 187.437 74.4495 0.50625 0.525 184 0.5043 0.5251 40.125
