YYYY,MM,DD,hh,mm,ss,msec,lat,lon,alt,state,elev_set,azi_set,elev_pid_out,azi_pid_out,CH1_0,CH1_2,CH1_4,CH2_0,CH2_2,CH2_4,CH3_0,CH3_2,CH3_4,CH4_0,CH4_2,CH4_4,CH5_0,CH5_2,CH5_4,Here,CH6_0,CH6_2,CH6_4,CH7_0,CH7_2,CH7_4,CH8_0,CH8_2,CH8_4,CH9_0,CH9_2,CH9_4,SPARE,5vRef_Temp,12POS_0_33,12NEG_0_33,J7_1,J7_2,J7_3,J7_4,J7_5,J7_6,J7_7,J7_8
2022,05,11,00,16,45,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26538,-0.00085,-0.00061,-0.21615,-0.00086,-0.00063,-0.22819,-0.00091,-0.00080,-0.23205,-0.00093,-0.00069,-0.24385,-0.00090,-0.00064,-0.00038,-0.00055,-0.22685,-0.00070,-0.00072,-0.21572,-0.00068,-0.00073,-0.22963,-0.00079,-0.00070,-0.00076,-0.00063,-0.56193,-0.00036,-0.00039,-0.00040,-1.19923,-1.73667,-2.36520,-0.00014,-0.00010,-0.00010,-0.00013,-0.00012
2022,05,11,00,16,45,884,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26552,-0.00084,-0.00067,-0.21622,-0.00088,-0.00067,-0.22823,-0.00086,-0.00077,-0.23205,-0.00092,-0.00061,-0.24388,-0.00093,-0.00066,-0.00042,-0.00050,-0.22681,-0.00072,-0.00076,-0.21580,-0.00070,-0.00075,-0.22971,-0.00084,-0.00075,-0.00079,-0.00063,-0.56225,-0.00039,-0.00043,-0.00048,-1.19656,-1.72563,-2.35433,-0.00012,-0.00007,-0.00001,-0.00004,-0.00015
2022,05,11,00,16,46,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26553,-0.00080,-0.00061,-0.21623,-0.00087,-0.00065,-0.22821,-0.00093,-0.00080,-0.23212,-0.00091,-0.00067,-0.24396,-0.00089,-0.00072,-0.00040,-0.00057,-0.22686,-0.00068,-0.00082,-0.21577,-0.00064,-0.00076,-0.22968,-0.00076,-0.00072,-0.00071,-0.00066,-0.55344,-0.00035,-0.00038,-0.00043,-1.19920,-1.72972,-2.36098,-0.00016,-0.00005,-0.00002,-0.00010,-0.00017
2022,05,11,00,16,46,385,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26561,-0.00088,-0.00064,-0.21620,-0.00086,-0.00063,-0.22832,-0.00083,-0.00073,-0.23209,-0.00091,-0.00059,-0.24393,-0.00089,-0.00067,-0.00032,-0.00056,-0.22688,-0.00069,-0.00073,-0.21588,-0.00070,-0.00076,-0.22972,-0.00079,-0.00076,-0.00074,-0.00065,-0.55596,-0.00033,-0.00047,-0.00046,-1.19499,-1.72658,-2.34584,-0.00011,-0.00006,-0.00012,-0.00002,-0.00006
2022,05,11,00,16,46,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26575,-0.00086,-0.00063,-0.21630,-0.00091,-0.00065,-0.22838,-0.00091,-0.00081,-0.23212,-0.00097,-0.00066,-0.24405,-0.00095,-0.00065,-0.00039,-0.00055,-0.22695,-0.00067,-0.00074,-0.21588,-0.00067,-0.00073,-0.22975,-0.00082,-0.00070,-0.00078,-0.00061,-0.55203,-0.00031,-0.00044,-0.00036,-1.19790,-1.73084,-2.35701,-0.00018,-0.00006,-0.00015,-0.00005,-0.00007
2022,05,11,00,16,46,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26582,-0.00087,-0.00068,-0.21628,-0.00088,-0.00063,-0.22837,-0.00088,-0.00073,-0.23207,-0.00090,-0.00061,-0.24407,-0.00086,-0.00069,-0.00036,-0.00056,-0.22700,-0.00059,-0.00075,-0.21597,-0.00067,-0.00072,-0.22983,-0.00079,-0.00070,-0.00081,-0.00064,-0.55206,-0.00031,-0.00041,-0.00041,-1.19081,-1.72315,-2.34275,-0.00010,-0.00006,-0.00002,-0.00005,-0.00011
2022,05,11,00,16,47,134,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26591,-0.00084,-0.00063,-0.21638,-0.00082,-0.00060,-0.22846,-0.00091,-0.00077,-0.23212,-0.00090,-0.00067,-0.24409,-0.00090,-0.00065,-0.00041,-0.00055,-0.22700,-0.00070,-0.00077,-0.21595,-0.00072,-0.00075,-0.22987,-0.00080,-0.00067,-0.00078,-0.00066,-0.55040,-0.00034,-0.00038,-0.00042,-1.19337,-1.72286,-2.34976,-0.00016,-0.00010,-0.00007,-0.00011,-0.00014
2022,05,11,00,16,47,384,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26599,-0.00090,-0.00065,-0.21639,-0.00087,-0.00062,-0.22848,-0.00087,-0.00075,-0.23216,-0.00091,-0.00067,-0.24414,-0.00090,-0.00059,-0.00034,-0.00056,-0.22701,-0.00063,-0.00077,-0.21599,-0.00067,-0.00075,-0.22996,-0.00081,-0.00075,-0.00079,-0.00071,-0.54906,-0.00042,-0.00040,-0.00040,-1.19840,-1.72656,-2.34462,-0.00012,-0.00009,-0.00011,-0.00003,-0.00010
2022,05,11,00,16,47,635,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26599,-0.00085,-0.00064,-0.21644,-0.00084,-0.00062,-0.22855,-0.00089,-0.00078,-0.23219,-0.00088,-0.00063,-0.24415,-0.00095,-0.00066,-0.00040,-0.00058,-0.22713,-0.00070,-0.00074,-0.21601,-0.00068,-0.00077,-0.22993,-0.00083,-0.00070,-0.00072,-0.00064,-0.54720,-0.00030,-0.00039,-0.00038,-1.19723,-1.73096,-2.35500,-0.00019,-0.00002,-0.00004,-0.00009,-0.00010
2022,05,11,00,16,47,885,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26616,-0.00086,-0.00067,-0.21646,-0.00086,-0.00057,-0.22854,-0.00089,-0.00073,-0.23213,-0.00088,-0.00065,-0.24415,-0.00093,-0.00062,-0.00034,-0.00052,-0.22713,-0.00063,-0.00078,-0.21608,-0.00070,-0.00077,-0.23002,-0.00079,-0.00073,-0.00076,-0.00058,-0.55227,-0.00038,-0.00040,-0.00040,-1.19341,-1.72618,-2.34384,-0.00007,-0.00003,-0.00007,-0.00011,-0.00007
2022,05,11,00,16,48,135,19.5364,-155.57557,3397,tr,0.000,0.000000,-0.000000,0.000000,-0.26622,-0.00086,-0.00065,-0.21645,-0.00085,-0.00061,-0.22856,-0.00091,-0.00078,-0.23222,-0.00091,-0.00068,-0.24422,-0.00090,-0.00062,-0.00038,-0.00054,-0.22720,-0.00067,-0.00075,-0.21613,-0.00066,-0.00073,-0.23008,-0.00079,-0.00073,-0.00076,-0.00065,-0.54858,-0.00032,-0.00034,-0.00037,-1.19476,-1.72678,-2.35522,-0.00014,-0.00004,-0.00012,-0.00013,-0.00017
